ApplicationID:ID,Name,:LABEL
1,xFind Operations,Application
2,xDatamatica,Application
3,xIWR,Application
4,xDUECES,Application
5,xEnrollment,Application
6,xVADUR,Application
7,xAccount Decon,Application
8,xAnnuity PRS,Application
9,xGenesus,Application
10,xPOIS,Application
11,xData River,Application
12,xSetThat,Application
13,xBIT7,Application
14,xPeopleHardFinance,Application
15,xSales MNS,Application
16,xIPOS,Application
17,xLMoon,Application
18,xEPickup Web Services,Application
19,xBowNus,Application
20,xGARDor,Application
21,xTICC Analytics Platform,Application
22,xDGS - DFS,Application
23,xMailThat,Application
24,xEmployeeDetriments,Application
25,xClaimDisadVantage,Application
26,xXXO,Application
27,xYourVaya,Application
28,x1086 UnPro,Application
29,xxFind Operations,Application
30,xxDatamatica,Application
31,xxIWR,Application
32,xxDUECES,Application
33,xxEnrollment,Application
34,xxVADUR,Application
35,xxAccount Decon,Application
36,xxAnnuity PRS,Application
37,xxGenesus,Application
38,xxPOIS,Application
39,xxData River,Application
40,xxSetThat,Application
41,xxBIT7,Application
42,xxPeopleHardFinance,Application
43,xxSales MNS,Application
44,xxIPOS,Application
45,xxLMoon,Application
46,xxEPickup Web Services,Application
47,xxBowNus,Application
48,xxGARDor,Application
49,xxTICC Analytics Platform,Application
50,xxDGS - DFS,Application
51,xxMailThat,Application
52,xxEmployeeDetriments,Application
53,xxClaimDisadVantage,Application
54,xxXXO,Application
55,xxYourVaya,Application
56,xx1086 UnPro,Application
57,yFind Operations,Application
58,yDatamatica,Application
59,yIWR,Application
60,yDUECES,Application
61,yEnrollment,Application
62,yVADUR,Application
63,yAccount Decon,Application
64,yAnnuity PRS,Application
65,yGenesus,Application
66,yPOIS,Application
67,yData River,Application
68,ySetThat,Application
69,yBIT7,Application
70,yPeopleHardFinance,Application
71,ySales MNS,Application
72,yIPOS,Application
73,yLMoon,Application
74,yEPickup Web Services,Application
75,yBowNus,Application
76,yGARDor,Application
77,yTICC Analytics Platform,Application
78,yDGS - DFS,Application
79,yMailThat,Application
80,yEmployeeDetriments,Application
81,yClaimDisadVantage,Application
82,yXXO,Application
83,yYourVaya,Application
84,y1086 UnPro,Application
85,xyFind Operations,Application
86,xyDatamatica,Application
87,xyIWR,Application
88,xyDUECES,Application
89,xyEnrollment,Application
90,xyVADUR,Application
91,xyAccount Decon,Application
92,xyAnnuity PRS,Application
93,xyGenesus,Application
94,xyPOIS,Application
95,xyData River,Application
96,xySetThat,Application
97,xyBIT7,Application
98,xyPeopleHardFinance,Application
99,xySales MNS,Application
100,xyIPOS,Application
101,xyLMoon,Application
102,xyEPickup Web Services,Application
103,xyBowNus,Application
104,xyGARDor,Application
105,xyTICC Analytics Platform,Application
106,xyDGS - DFS,Application
107,xyMailThat,Application
108,xyEmployeeDetriments,Application
109,xyClaimDisadVantage,Application
110,xyXXO,Application
111,xyYourVaya,Application
112,xy1086 UnPro,Application
113,aFind Operations,Application
114,aDatamatica,Application
115,aIWR,Application
116,aDUECES,Application
117,aEnrollment,Application
118,aVADUR,Application
119,aAccount Decon,Application
120,aAnnuity PRS,Application
121,aGenesus,Application
122,aPOIS,Application
123,aData River,Application
124,aSetThat,Application
125,aBIT7,Application
126,aPeopleHardFinance,Application
127,aSales MNS,Application
128,aIPOS,Application
129,aLMoon,Application
130,aEPickup Web Services,Application
131,aBowNus,Application
132,aGARDor,Application
133,aTICC Analytics Platform,Application
134,aDGS - DFS,Application
135,aMailThat,Application
136,aEmployeeDetriments,Application
137,aClaimDisadVantage,Application
138,aXXO,Application
139,aYourVaya,Application
140,a1086 UnPro,Application
141,bFind Operations,Application
142,bDatamatica,Application
143,bIWR,Application
144,bDUECES,Application
145,bEnrollment,Application
146,bVADUR,Application
147,bAccount Decon,Application
148,bAnnuity PRS,Application
149,bGenesus,Application
150,bPOIS,Application
151,bData River,Application
152,bSetThat,Application
153,bBIT7,Application
154,bPeopleHardFinance,Application
155,bSales MNS,Application
156,bIPOS,Application
157,bLMoon,Application
158,bEPickup Web Services,Application
159,bBowNus,Application
160,bGARDor,Application
161,bTICC Analytics Platform,Application
162,bDGS - DFS,Application
163,bMailThat,Application
164,bEmployeeDetriments,Application
