ApplicationID:ID,Name,:LABEL
1099 Pro,5265b5944921b900cb33390a39e69d9c,Application
403b Data Sharing,6c55600b0a0a3c25018ac6f349570c4a,Application
5500 SCHED A (EASE ACES-OMNI),6c55612a0a0a3c2501180ee77f8275e2,Application
ABI,6c55643e0a0a3c250193d10d617b3534,Application
Account Recon ODS,4124a32c4fdc0b00f6bd4b901210c765,Application
Accounting Trade Check Out,6c5568880a0a3c25010adf671ac5cab3,Application
ACEPAY,6c556c670a0a3c2500bc98404de78b3b,Application
ACES CASE,6c5570dd0a0a3c2501e1f6ea861608a0,Application
ACES CONFIRMS,6c5572170a0a3c2500b6f30e6fd3e08d,Application
ACES VRU,6c5574d90a0a3c25017e26a08e028837,Application
ACH Credit,6c5577640a0a3c25002fbdf812f5f7d6,Application
Actimize,6c5585750a0a3c25008f7fc41c400131,Application
Administrator Web,ef93faac4fc4dbc0ab155bad0210c749,Application
AdminStationID,6c55929d0a0a3c2500a689e36246cab0,Application
AdminStationRSD,6c55933b0a0a3c250169cf0ebb830adc,Application
Advisor Reporting,2b7537da4fd2d788ab155bad0210c7f5,Application
Advisors Network - Commission Statements,2a82266c0a0a3c25003ea80ec366448d,Application
AlternateAccess,67a5da660a0a3c75005a981c90cc5eb4,Application
AMI Imaging Email Collator,fa0abb9b0a0a3c250162adbe1ad2a47f,Application
AMI Imaging Feeder Agent,577727920a0a3c2500645145c4ea705e,Application
AMI Imaging Record Activator,fa0b8e950a0a3c2500195552b1d5046a,Application
AMI Imaging Word Agent,fa0c93080a0a3c250186e5dd61b8507d,Application
AMI Imaging WorkBase,fa0dab200a0a3c25017306f5db90e396,Application
AMI Imaging WorkBase Manager,fa0e469b0a0a3c2500a757ab142358f4,Application
AMI Imaging Workflow Utilities,fa0ee8570a0a3c250099ccac0c2c8682,Application
AMS Reporting DB,6c55b26e0a0a3c25012f8298bbfcc393,Application
Annual Plan Review,6c55b44e0a0a3c250013d1c9dddabf5f,Application
Annual Plan Review Monthly Load,4423d5340a0a3c2501f7e685ec6aebe3,Application
Annuity Application and Subsequent Premium (APP/SUB),2e6664bb0a0a3c25017648693f03bcf7,Application
Annuity Book of Business Datamart,f9e57a360a0a3c25009a253a80acd7a4,Application
Annuity Doc Delivery Service,099afd6c0a0a3c75008b1bc56a7e37dc,Application
Annuity DTCC Attachments,6c55b7d80a0a3c250194f3ac55590981,Application
Annuity DTCC Fund Transfers,2e623b0b0a0a3c2501d7d720dc581fe8,Application
Annuity ePais,030866fe4f26fac081a9605f0310c7e4,Application
Annuity eXstream,6c5a9f4d0a0a3c2500c9f42904ce4208,Application
Annuity GoodOrder,0549973e4f267e04b33bbfaf0310c783,Application
Annuity ID Management,6c55b92e0a0a3c2501c1f27d55b488dc,Application
Annuity RPS,6c5979540a0a3c25009ff2a2c760bb84,Application
Annuity Service Broker,4ba5e0134ffd6a00f6bd4b901210c7fe,Application
Annuity Services,23ac8c470a0a3c250050eb62207d13b3,Application
ANNUITY SETTLEMENT QUOTE,6c55bce10a0a3c25005eccbf7737f7d6,Application
Apex Performance Management,2598452ae97fd98cbcb8e26f7a0209d2,Application
Aptean,7b4e405a4fa44700872a5bad0210c71f,Application
Archer Internal,731e711b4f934e00f6bd4b901210c753,Application
Archive - Auto Enroll,c1a776f44febdbc49f96605f0310c700,Application
Archive - Electronic Loan Processing,637359d04fd7df809f96605f0310c73b,Application
Archive ReconPlus,b979bff04fe5db0007cc5bad0210c76f,Application
Archive-Brass Ring,421b7ebe4f33b28438065bad0210c7bc,Application
AS OF MATURITIES,6c55c7a70a0a3c2500ae4aff075e0921,Application
Asset Allocation Made Easier,f05415375b869800da9f6cb43e425457,Application
