:START_ID,role,:END_ID,:TYPE
1,Owns,1000,Owns
1,Owns,1001,Owns
1,Owns,1002,Owns
1,Owns,1003,Owns
2,Owns,1004,Owns
2,Owns,1005,Owns
2,Owns,1006,Owns
2,Owns,1007,Owns
3,Owns,1008,Owns
3,Owns,1009,Owns
3,Owns,1010,Owns
3,Owns,1011,Owns
4,Owns,1012,Owns
4,Owns,1013,Owns
4,Owns,1014,Owns
4,Owns,1015,Owns
5,Owns,1016,Owns
5,Owns,1017,Owns
5,Owns,1018,Owns
5,Owns,1019,Owns
6,Owns,1020,Owns
6,Owns,1021,Owns
6,Owns,1022,Owns
6,Owns,1023,Owns
7,Owns,1024,Owns
7,Owns,1025,Owns
7,Owns,1026,Owns
7,Owns,1027,Owns
8,Owns,1028,Owns
8,Owns,1029,Owns
8,Owns,1030,Owns
8,Owns,1031,Owns
9,Owns,1032,Owns
9,Owns,1033,Owns
9,Owns,1034,Owns
9,Owns,1035,Owns
10,Owns,1036,Owns
10,Owns,1037,Owns
10,Owns,1038,Owns
10,Owns,1039,Owns
11,Owns,1040,Owns
11,Owns,1041,Owns
11,Owns,1042,Owns
11,Owns,1043,Owns
12,Owns,1044,Owns
12,Owns,1045,Owns
12,Owns,1046,Owns
12,Owns,1047,Owns
13,Owns,1048,Owns
13,Owns,1049,Owns
13,Owns,1050,Owns
13,Owns,1051,Owns
14,Owns,1052,Owns
14,Owns,1053,Owns
14,Owns,1054,Owns
14,Owns,1055,Owns
15,Owns,1056,Owns
15,Owns,1057,Owns
15,Owns,1058,Owns
15,Owns,1059,Owns
16,Owns,1060,Owns
16,Owns,1061,Owns
16,Owns,1062,Owns
16,Owns,1063,Owns
17,Owns,1064,Owns
17,Owns,1065,Owns
17,Owns,1066,Owns
17,Owns,1067,Owns
18,Owns,1068,Owns
18,Owns,1069,Owns
18,Owns,1070,Owns
18,Owns,1071,Owns
19,Owns,1072,Owns
19,Owns,1073,Owns
19,Owns,1074,Owns
19,Owns,1075,Owns
20,Owns,1076,Owns
20,Owns,1077,Owns
20,Owns,1078,Owns
20,Owns,1079,Owns
21,Owns,1080,Owns
21,Owns,1081,Owns
21,Owns,1082,Owns
21,Owns,1083,Owns
22,Owns,1084,Owns
22,Owns,1085,Owns
22,Owns,1086,Owns
22,Owns,1087,Owns
23,Owns,1088,Owns
23,Owns,1089,Owns
23,Owns,1090,Owns
23,Owns,1091,Owns
24,Owns,1092,Owns
24,Owns,1093,Owns
24,Owns,1094,Owns
24,Owns,1095,Owns
25,Owns,1096,Owns
25,Owns,1097,Owns
25,Owns,1098,Owns
25,Owns,1099,Owns
26,Owns,1100,Owns
26,Owns,1101,Owns
26,Owns,1102,Owns
26,Owns,1103,Owns
27,Owns,1104,Owns
27,Owns,1105,Owns
27,Owns,1106,Owns
27,Owns,1107,Owns
28,Owns,1108,Owns
